Compound,Formula,Adduct,m/z,z,t start (min),t stop (min)
Sel Score: 0.99 p value: 1.202e-02 RTime: 124.754,,(no adduct),474.0192,4,114,120
Sel Score: 0.99 p value: 1.394e-03 RTime: 115.759,,(no adduct),544.797,2,105,120
Sel Score: 0.99 p value: 1.034e-01 RTime: 19.997,,(no adduct),327.5886,5,9,29
Sel Score: 0.99 p value: 7.843e-02 RTime: 19.365,,(no adduct),353.3989,5,9,29
Sel Score: 0.97 p value: 2.190e-02 RTime: 116.94,,(no adduct),566.81,2,106,120
Sel Score: 0.97 p value: 1.124e-02 RTime: 120.34,,(no adduct),632.8495,2,110,120
Sel Score: 0.97 p value: 4.886e-02 RTime: 80.533,,(no adduct),673.8394,3,70,90
Sel Score: 0.97 p value: 1.305e-02 RTime: 117.925,,(no adduct),407.6883,2,107,120
Sel Score: 0.96 p value: 1.765e-02 RTime: 119.254,,(no adduct),610.8345,2,109,120
Sel Score: 0.95 p value: 7.186e-02 RTime: 84.909,,(no adduct),741.5275,3,74,94
Sel Score: 0.95 p value: 1.697e-03 RTime: 118.031,,(no adduct),588.8223,2,108,120
Sel Score: 0.95 p value: 7.563e-02 RTime: 124.689,,(no adduct),474.5205,4,114,120
Sel Score: 0.95 p value: 2.320e-02 RTime: 56.361,,(no adduct),399.2237,2,46,66
Sel Score: 0.95 p value: 1.292e-01 RTime: 20.115,,(no adduct),361.1986,5,10,30
Sel Score: 0.95 p value: 9.609e-02 RTime: 33.384,,(no adduct),421.7386,2,23,43
Sel Score: 0.94 p value: 1.971e-02 RTime: 19.863,,(no adduct),339.1842,5,9,29
Sel Score: 0.94 p value: 5.736e-02 RTime: 20.558,,(no adduct),328.5816,5,10,30
Sel Score: 0.94 p value: 1.111e-01 RTime: 102.149,,(no adduct),651.6781,3,92,112
Sel Score: 0.93 p value: 4.362e-03 RTime: 121.345,,(no adduct),654.8609,2,111,120
Sel Score: 0.93 p value: 1.683e-02 RTime: 21.996,,(no adduct),334.5854,5,11,31
Sel Score: 0.93 p value: 7.710e-05 RTime: 39.358,,(no adduct),381.4713,4,29,49
Sel Score: 0.93 p value: 9.270e-03 RTime: 66.052,,(no adduct),677.3312,3,56,76
Sel Score: 0.92 p value: 9.286e-02 RTime: 32.866,,(no adduct),420.5049,2,22,42
Sel Score: 0.92 p value: 3.229e-03 RTime: 21.157,,(no adduct),322.9853,5,11,31
Sel Score: 0.92 p value: 6.626e-02 RTime: 35.336,,(no adduct),406.9607,4,25,45
Sel Score: 0.92 p value: 1.040e-01 RTime: 21.367,,(no adduct),325.7855,5,11,31
